City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Cape Town,ZA,-33.9258,18.4232,74.26,36,0,1.01,clear sky
79,Victoria,HK,22.2855,114.1577,84.33,68,76,1.01,broken clouds
80,Carnarvon,AU,-24.8667,113.6333,72.12,51,98,8.03,overcast clouds
81,Asau,RO,46.4333,26.4,72.52,37,79,4.72,broken clouds
82,Pokhara,NP,28.2333,83.9833,78.26,58,66,3.85,broken clouds
83,Fortuna,US,40.5982,-124.1573,52.2,61,1,6.91,clear sky
84,Katsuura,JP,35.1333,140.3,72.1,86,100,10.31,overcast clouds
85,Nelson,NZ,-41.2833,173.2833,58.28,93,100,3.0,moderate rain
86,Krasnoye,UA,49.9145,24.6134,67.35,69,99,5.32,moderate rain
87,Nyurba,RU,63.2842,118.3319,48.2,72,100,1.9,overcast clouds
88,Xingyi,CN,24.1877,102.817,64.98,87,34,2.8,scattered clouds
89,Bonavista,CA,48.6499,-53.1147,45.82,82,98,3.91,overcast clouds
90,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,69,40,13.8,scattered clouds
91,Puerto Madero,MX,14.7208,-92.4215,80.17,77,99,3.36,overcast clouds
92,Itoman,JP,26.1247,127.6694,81.37,94,75,16.11,broken clouds
93,Tazovskiy,RU,67.4667,78.7,33.71,78,91,18.97,overcast clouds
94,Port Alfred,ZA,-33.5906,26.891,64.63,71,0,13.94,clear sky
95,Airai,TL,-8.9266,125.4092,58.19,93,94,3.22,overcast clouds
96,Grand Gaube,MU,-20.0064,57.6608,75.38,79,6,1.99,clear sky
97,Mar Del Plata,AR,-38.0023,-57.5575,55.09,1,100,3.0,overcast clouds
98,Bluff,NZ,-46.6,168.3333,49.8,68,100,13.33,overcast clouds
99,Pisco,PE,-13.7,-76.2167,61.02,88,44,2.73,scattered clouds
100,Tateyama,JP,34.9833,139.8667,72.01,86,100,11.3,overcast clouds
101,Salalah,OM,17.0151,54.0924,84.56,78,100,11.99,overcast clouds
102,Ust-Kuyga,RU,70.0167,135.6,38.57,96,100,7.67,moderate rain
103,Lebu,CL,-37.6167,-73.65,49.96,76,62,8.3,broken clouds
104,East London,ZA,-33.0153,27.9116,64.38,68,18,8.5,few clouds
105,San Cristobal,VE,7.7669,-72.225,76.37,67,95,5.79,overcast clouds
106,Chumikan,RU,54.7183,135.315,34.18,98,91,5.17,overcast clouds
107,Avarua,CK,-21.2078,-159.775,73.45,100,90,6.91,overcast clouds
108,Kilingi-Nomme,EE,58.1503,24.9642,70.65,49,64,8.61,broken clouds
109,Shakhovskaya,RU,56.0283,35.5097,69.26,54,4,8.05,clear sky
110,Guilin,CN,25.2819,110.2864,71.31,75,0,1.59,clear sky
111,Chokurdakh,RU,70.6333,147.9167,51.87,76,100,10.83,light rain
112,Faanui,PF,-16.4833,-151.75,80.65,74,98,5.86,overcast clouds
113,Ballina,AU,-28.8667,153.5667,50.95,91,10,6.73,clear sky
114,Kruisfontein,ZA,-34.0033,24.7314,67.71,31,0,9.22,clear sky
115,Ribeira Grande,PT,38.5167,-28.7,68.4,88,20,10.36,few clouds
116,Silleda,ES,42.696,-8.2465,77.49,38,10,5.23,clear sky
117,Iquitos,PE,-3.7481,-73.2472,81.07,78,59,2.3,broken clouds
118,Emirdag,TR,39.0197,31.15,64.69,30,7,8.05,clear sky
119,Rikitea,PF,-23.1203,-134.9692,75.16,79,100,11.36,overcast clouds
120,Atuona,PF,-9.8,-139.0333,78.48,75,91,11.74,overcast clouds
121,Siteki,SZ,-26.45,31.95,60.24,53,86,4.07,overcast clouds
122,Kristiansund,NO,63.1115,7.732,71.65,59,0,12.66,clear sky
123,Waingapu,ID,-9.6567,120.2641,76.59,83,55,6.69,broken clouds
124,Jamestown,US,42.097,-79.2353,79.3,50,1,13.8,clear sky
125,Honiara,SB,-9.4333,159.95,77.83,84,82,3.02,broken clouds
126,Khatanga,RU,71.9667,102.5,34.95,83,100,8.05,overcast clouds
127,Poum,NC,-20.2333,164.0167,73.76,80,100,11.95,light rain
128,Tarnos,FR,43.5417,-1.4628,81.14,68,90,10.36,overcast clouds
129,Gat,IL,31.61,34.7642,82.4,47,0,13.62,clear sky
130,Pushkino,RU,56.0172,37.8667,70.21,61,100,8.14,overcast clouds
131,Clyde River,CA,70.4692,-68.5914,32.83,95,100,7.67,overcast clouds
132,Sao Pedro Do Sul,BR,-29.6206,-54.1789,76.21,58,44,16.98,scattered clouds
133,Ugoofaaru,MV,5.6667,73.0,82.74,77,100,17.43,overcast clouds
134,Usinsk,RU,65.9939,57.5281,60.64,53,100,7.31,overcast clouds
135,Conde,BR,-7.2597,-34.9075,81.81,68,29,12.95,scattered clouds
136,Chuy,UY,-33.6971,-53.4616,64.17,96,100,4.74,heavy intensity rain
137,Plettenberg Bay,ZA,-34.0527,23.3716,66.74,43,0,7.81,clear sky
138,Taoudenni,ML,22.6783,-3.9836,117.01,4,10,8.28,clear sky
139,Shenzhen,CN,22.5455,114.0683,84.22,75,60,4.9,broken clouds
140,Dubna,RU,56.7333,37.1667,71.89,43,23,8.48,few clouds
141,Ahualulco,MX,22.4,-101.1667,57.02,63,60,0.47,broken clouds
142,Andenes,NO,69.3143,16.1194,51.08,81,20,6.91,few clouds
143,Ossora,RU,59.2353,163.0719,44.15,87,100,1.23,overcast clouds
144,Kapaa,US,22.0752,-159.319,72.19,74,91,13.89,overcast clouds
145,Flinders,AU,-34.5833,150.8552,53.26,57,100,1.99,overcast clouds
146,Chapais,CA,49.7834,-74.8492,60.58,94,100,9.6,overcast clouds
147,Te Anau,NZ,-45.4167,167.7167,39.81,91,23,1.92,few clouds
148,Tautira,PF,-17.7333,-149.15,78.82,76,85,9.84,overcast clouds
149,Tasiilaq,GL,65.6145,-37.6368,39.36,98,100,1.48,light rain
150,Nara,JP,34.6851,135.8049,69.08,57,100,1.28,overcast clouds
151,Ruthin,GB,53.1137,-3.3178,72.97,68,86,5.01,overcast clouds
152,Juneau,US,58.3019,-134.4197,48.22,98,100,2.28,light rain
153,Dwarka,IN,22.2394,68.9678,85.87,68,2,15.23,clear sky
154,Port Hardy,CA,50.6996,-127.4199,49.55,86,95,8.28,overcast clouds
155,Sanandrei,RO,45.8531,21.1681,80.74,34,0,2.17,clear sky
156,Saint-Philippe,RE,-21.3585,55.7679,76.55,84,48,5.46,light rain
157,Hobart,AU,-42.8794,147.3294,47.91,70,20,3.0,few clouds
158,Sorsk,RU,54.0033,90.2467,39.72,96,100,7.25,light rain
159,Thunder Bay,CA,48.4001,-89.3168,69.98,96,75,4.61,broken clouds
160,Yulara,AU,-25.2406,130.9889,51.73,48,0,8.12,clear sky
161,Hilo,US,19.7297,-155.09,77.29,91,48,0.54,scattered clouds
162,Hasaki,JP,35.7333,140.8333,68.29,84,100,4.03,overcast clouds
163,Maceio,BR,-9.6658,-35.7353,80.04,83,40,16.15,scattered clouds
164,Hamilton,US,39.1834,-84.5333,79.77,69,1,3.74,clear sky
165,Namibe,AO,-15.1961,12.1522,80.49,46,2,8.14,clear sky
166,Tiksi,RU,71.6872,128.8694,34.23,80,100,0.76,overcast clouds
167,Nuuk,GL,64.1835,-51.7216,39.81,93,75,5.75,light rain
168,Cidreira,BR,-30.1811,-50.2056,74.64,63,0,5.17,clear sky
169,Bairiki,KI,1.3292,172.9752,81.99,70,7,5.64,clear sky
170,Bardsir,IR,29.9227,56.5743,92.21,7,22,12.68,few clouds
171,Riyadh,SA,24.6877,46.7219,110.43,5,2,8.1,clear sky
172,Castro,BR,-24.7911,-50.0119,70.63,55,0,9.64,clear sky
173,Chernyy Yar,RU,48.0624,46.1091,69.28,58,100,11.12,moderate rain
174,Egvekinot,RU,66.3167,-179.1667,32.14,85,100,2.04,overcast clouds
175,Santa Cruz De La Palma,ES,28.6835,-17.7642,73.54,60,20,16.11,few clouds
176,Noumea,NC,-22.2763,166.4572,73.99,99,100,14.12,overcast clouds
177,Jacobabad,PK,28.281,68.4388,108.28,18,0,12.28,clear sky
178,Ostrovnoy,RU,68.0531,39.5131,46.26,76,100,14.61,overcast clouds
179,Shatrovo,RU,56.5167,64.6333,67.69,52,0,7.74,clear sky
180,Sandnessjoen,NO,66.0217,12.6316,74.57,88,3,3.24,clear sky
181,Camaqua,BR,-30.8511,-51.8122,80.51,52,21,9.69,few clouds
182,Grande Riviere Du Nord,HT,19.5833,-72.1833,80.65,65,40,3.15,scattered clouds
183,Mezen,RU,65.8522,44.24,63.86,50,18,11.86,few clouds
184,Yar-Sale,RU,66.8333,70.8333,46.13,55,96,18.19,overcast clouds
185,Upington,ZA,-28.4478,21.2561,69.85,15,0,11.9,clear sky
186,Nouadhibou,MR,20.931,-17.0347,69.58,69,55,21.18,broken clouds
187,Khasan,RU,42.4308,130.6434,54.59,89,84,6.06,light rain
