City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
231,Namatanai,PG,79.52,light rain,-3.6667,152.4333,Seagulls Inn Namatani
232,Le Moule,GP,84.24,overcast clouds,16.3332,-61.3473,Lakaz Hananou
235,Big Rapids,US,78.44,clear sky,43.6981,-85.4837,"Holiday Inn Big Rapids, an IHG Hotel"
236,Shahrud,IR,85.35,clear sky,36.4182,54.9763,Royal Hotel
242,Caravelas,BR,77.83,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
243,Kamalapuram,IN,80.37,overcast clouds,14.5833,78.65,Hotel
245,The Valley,AI,83.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
249,Kavaratti,IN,82.49,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
250,Petkovci,BA,82.98,clear sky,44.4531,19.0761,Gostionica Lazić
255,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
256,Tual,ID,81.34,broken clouds,-5.6667,132.75,Grand Vilia Hotel
262,Tazlar,HU,82.63,few clouds,46.5482,19.5144,Kadarka Guest-house
267,Mana,GF,81.21,light rain,5.6592,-53.7767,LE SAMANA
272,Jacareacanga,BR,88.95,clear sky,-6.2222,-57.7528,Casa do Ian😎
273,Maragogi,BR,80.73,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
277,Bud,US,78.22,clear sky,39.446999999999996,-86.1758,Ted McQuinn Trust
286,Batangafo,CF,79.68,light rain,7.3008,18.2833,OCHA Office
288,Luganville,VU,76.68,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
299,Hithadhoo,MV,83.39,overcast clouds,-0.6,73.0833,Scoop Guest House
300,Celestun,MX,82.53,broken clouds,20.8667,-90.4,Posada Lilia
302,Rondonopolis,BR,87.06,broken clouds,-16.4708,-54.6356,Serras Hotel
305,Pataias,PT,86.81,clear sky,39.6698,-8.9958,Land's Hause Bungalows
306,Cabo San Lucas,MX,86.4,clear sky,22.8909,-109.9124,Tesoro Los Cabos
308,Matara,LK,79.92,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
310,Muttupet,IN,82.89,overcast clouds,10.4,79.4833,Hotel Star Residency
312,Igbo Ora,NG,80.91,overcast clouds,7.4333,3.2833,Pinkbell Inn
313,Peniche,PT,81.75,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
317,Carballo,ES,80.58,clear sky,43.213,-8.691,Pazo do Souto
324,Russell,US,80.8,scattered clouds,32.3502,-85.1999,Macs
326,Petatlan,MX,84.0,scattered clouds,17.5167,-101.2667,Hotel California Petatlán
329,Hobyo,SO,81.01,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
332,Ternate,ID,81.39,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
333,Port Blair,IN,83.71,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
338,Dingle,PH,78.62,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
346,Faya,SA,77.52,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
349,San Patricio,US,81.9,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
359,Sterling,US,84.36,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
361,Tabou,CI,84.22,broken clouds,4.423,-7.3528,hotêl doufoulougou
362,Turayf,SA,88.92,clear sky,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
363,Emilio Carranza,MX,79.63,overcast clouds,19.9711,-96.6114,casa carranza
367,Watsa,CD,79.88,light rain,3.0372,29.5355,Hôtel Le Pacifique
